CHEBI_135737	PR_P33261
CHEBI_4877	PR_P20815
CHEBI_6715	PR_P33261
CHEBI_5118	PR_P10635
CHEBI_6375	PR_P10635
CHEBI_4636	PR_P10635
CHEBI_45409	PR_P08684
CHEBI_7789	PR_P10635
CHEBI_8461	PR_P10635
CHEBI_7443	PR_P05177
CHEBI_6343	PR_P10635
CHEBI_47519	PR_Q16850
CHEBI_3090	PR_P33261
CHEBI_5693	PR_P33261
CHEBI_5441	PR_P11712
CHEBI_24564	PR_P05177
CHEBI_47519	PR_P05093
CHEBI_3215	PR_P10635
CHEBI_39548	PR_P08684
CHEBI_6723	PR_P11712
CHEBI_6690	PR_P08684
CHEBI_6541	PR_P11712
CHEBI_47519	PR_Q07973
CHEBI_7575	PR_P08684
CHEBI_18358	PR_P05177
CHEBI_7772	PR_P11712
CHEBI_37924	PR_P22309
CHEBI_40050	PR_P08684
CHEBI_6413	PR_P15538
CHEBI_9362	PR_P11712
CHEBI_9671	PR_P10635
CHEBI_7825	PR_P10635
CHEBI_68639	PR_P05093
CHEBI_45285	PR_P20815
CHEBI_77780	PR_P11712
CHEBI_6030	PR_P20815
CHEBI_7577	PR_P05177
CHEBI_47519	PR_P22680
CHEBI_9249	PR_P11712
CHEBI_5818	PR_P10635
CHEBI_45409	PR_P11712
CHEBI_31298	PR_P10635
CHEBI_7936	PR_P05177
CHEBI_47381	PR_P19224
CHEBI_127342	PR_P10635
CHEBI_8499	PR_P05177
CHEBI_3545	PR_P08684
CHEBI_2611	PR_P08684
CHEBI_3994	PR_P10635
CHEBI_45285	PR_P08684
CHEBI_48574	PR_P11712
CHEBI_7772	PR_P33261
CHEBI_6923	PR_P33261
CHEBI_47381	PR_O60656
CHEBI_8060	PR_P11712
CHEBI_8499	PR_P10635
CHEBI_5062	PR_P11712
CHEBI_6375	PR_P33261
CHEBI_5062	PR_P33261
CHEBI_10023	PR_P08684
CHEBI_64318	PR_P08684
CHEBI_2675	PR_P10635
CHEBI_9566	PR_P10635
CHEBI_4877	PR_P08684
CHEBI_6923	PR_P08684
CHEBI_45979	PR_P05177
CHEBI_5296	PR_P11712
CHEBI_35553	PR_P10635
CHEBI_7582	PR_P11712
CHEBI_8435	PR_P05177
CHEBI_28593	PR_P10635
CHEBI_6923	PR_P10635
CHEBI_45409	PR_P10635
CHEBI_6919	PR_P10632
CHEBI_72291	PR_P08684
CHEBI_7575	PR_P11712
