drug_obo_id	ind_obo_id
CHEBI_3638	MONDO_0008383
CHEBI_4031	MONDO_0008383
CHEBI_5130	MONDO_0008383
CHEBI_471744	MONDO_0004652
CHEBI_31687	MONDO_0010788
CHEBI_45783	MONDO_0015689
CHEBI_17268	MONDO_0019975
CHEBI_471744	MONDO_0006635
CHEBI_45783	MONDO_0011895
CHEBI_2618	MONDO_0001945
CHEBI_80630	MONDO_0041448
CHEBI_6538	MONDO_0008383
CHEBI_15640	MONDO_0008383
CHEBI_27470	MONDO_0008383
CHEBI_134988	MONDO_0002050
CHEBI_5958	MONDO_0002050
CHEBI_64317	MONDO_0005709
CHEBI_6076	MONDO_0044070
CHEBI_63605	MONDO_0004989|MONDO_0015870
CHEBI_6432	MONDO_0005654
CHEBI_77278	MONDO_0005654
CHEBI_5950	MONDO_0005644
CHEBI_38940	HP_0001541
CHEBI_31699	MONDO_0019975
CHEBI_15940	MONDO_0019975
CHEBI_6128	MONDO_0008383
CHEBI_48339	MONDO_0006640|MONDO_0018912
CHEBI_9241	HP_0001541
CHEBI_3508	HP_0001541
CHEBI_600103	HP_0001541
CHEBI_31547	HP_0001541
CHEBI_135901	MONDO_0019933
CHEBI_6375	MONDO_0019610
CHEBI_6402	MONDO_0008383
CHEBI_2637	MONDO_0040732
CHEBI_68540	MONDO_0011849
CHEBI_6402	MONDO_0011849
CHEBI_63598	MONDO_0005119
CHEBI_63598	MONDO_0002186
CHEBI_6432	MONDO_0005645
CHEBI_77278	MONDO_0005645
CHEBI_15765	MONDO_0001945
CHEBI_2637	MONDO_0020920
CHEBI_4670	MONDO_0004979
CHEBI_6456	MONDO_0004525
CHEBI_32888	MONDO_0004525
CHEBI_2637	MONDO_0006753
CHEBI_29073	HP_0100510
CHEBI_29708	HP_0100510
CHEBI_28527	HP_0100510
CHEBI_46905	HP_0100510
CHEBI_2637	MONDO_0041825
CHEBI_2682	MONDO_0005657
CHEBI_85979	MONDO_0005657
CHEBI_85978	MONDO_0005657
CHEBI_6076	MONDO_0005657
CHEBI_47782	MONDO_0002050
CHEBI_28918	MONDO_0004979
CHEBI_31684	MONDO_0004979
CHEBI_6375	MONDO_0004979
CHEBI_47564	MONDO_0004979
CHEBI_6970	MONDO_0004979
CHEBI_94449	MONDO_0004979
CHEBI_135931	MONDO_0004979
CHEBI_47544	MONDO_0003781
CHEBI_6538	MONDO_0005709
CHEBI_32499	MONDO_0002050
CHEBI_31784	MONDO_0006651
CHEBI_51164	MONDO_0001836
CHEBI_47544	MONDO_0002186
CHEBI_51164	MONDO_0019933
CHEBI_28925	MONDO_0011996
CHEBI_76172	MONDO_0008383
CHEBI_6710	MONDO_0008383
CHEBI_28940	MONDO_0004979
CHEBI_6690	MONDO_0002050
CHEBI_46659	MONDO_0004979
CHEBI_5106	MONDO_0004979
CHEBI_17650	MONDO_0004979
CHEBI_50848	MONDO_0006651
CHEBI_141474	MONDO_0003471
CHEBI_28925	MONDO_0009691
CHEBI_6704	MONDO_0005654
CHEBI_40303	MONDO_0002277
CHEBI_156095	MONDO_0005920
CHEBI_6758	MONDO_0005754
CHEBI_6741	MONDO_0008383
CHEBI_63082	MONDO_0004979
CHEBI_75984	MONDO_0004981
CHEBI_77733	MONDO_0004981
CHEBI_6904	MONDO_0004981
CHEBI_2663	MONDO_0004981
CHEBI_88206	MONDO_0004981
CHEBI_135809	MONDO_0004981
CHEBI_87732	MONDO_0004981
CHEBI_6757	MONDO_0041284
CHEBI_16796	MONDO_0004981
CHEBI_63619	MONDO_0004981
CHEBI_43968	MONDO_0040732
CHEBI_31827	MONDO_0005754
CHEBI_83329	MONDO_0004979
CHEBI_29073	MONDO_0004981
CHEBI_113451	MONDO_0004981
CHEBI_135361	MONDO_0005709
CHEBI_77363	HP_0004749
CHEBI_135809	HP_0004749
CHEBI_8774	HP_0004749
CHEBI_64317	MONDO_0000465
CHEBI_44185	MONDO_0009691
CHEBI_17650	MONDO_0007179
CHEBI_15365	HP_0003418
CHEBI_32114	HP_0003418
CHEBI_36773	HP_0003418
CHEBI_46195	HP_0003418
CHEBI_61276	MONDO_0005709
CHEBI_6888	MONDO_0004979
CHEBI_101853	MONDO_0004652
CHEBI_5280	MONDO_0004652
CHEBI_59343	MONDO_0004652
CHEBI_63598	MONDO_0004652
CHEBI_29013	MONDO_0004652
CHEBI_2637	MONDO_0004652
CHEBI_28971	MONDO_0004652
CHEBI_404903	MONDO_0004652
CHEBI_478164	MONDO_0004652
CHEBI_6888	MONDO_0015129
CHEBI_6888	MONDO_0011849
CHEBI_6888	MONDO_0009691
CHEBI_6888	MONDO_0020108
CHEBI_6888	MONDO_0018479
CHEBI_17630	MONDO_0004652
CHEBI_42355	MONDO_0004652
CHEBI_6909	MONDO_0024389
CHEBI_6888	MONDO_0005848
CHEBI_6888	MONDO_0001198
CHEBI_6888	MONDO_0015253
CHEBI_29013	MONDO_0005664
CHEBI_6888	MONDO_0000004
CHEBI_6888	MONDO_0024332
CHEBI_6888	MONDO_0007179
CHEBI_6121	MONDO_0004985
CHEBI_8863	MONDO_0004985
CHEBI_17045	MONDO_0004985
CHEBI_50841	MONDO_0004985
CHEBI_6931	MONDO_0004985
CHEBI_6919	MONDO_0001080
CHEBI_2666	MONDO_0002050
CHEBI_50688	MONDO_0024389
CHEBI_600520	MONDO_0044070
CHEBI_45783	MONDO_0006115
CHEBI_31459	HP_0001080
CHEBI_16359	HP_0001080
CHEBI_5747	HP_0001080
CHEBI_6919	MONDO_0004264
CHEBI_50694	MONDO_0001080
CHEBI_50694	MONDO_0005664
CHEBI_50694	MONDO_0005631
CHEBI_50694	MONDO_0005119
CHEBI_50694	MONDO_0004264
CHEBI_50694	MONDO_0040728
CHEBI_6942	MONDO_0004907
CHEBI_83531	MONDO_0002050
CHEBI_29013	MONDO_0024472
CHEBI_2668	MONDO_0006021
CHEBI_47564	MONDO_0004765
CHEBI_6970	MONDO_0004765
CHEBI_50730	MONDO_0004765
CHEBI_47564	MONDO_0004784
CHEBI_6970	MONDO_0004784
CHEBI_134704	MONDO_0000945
CHEBI_50730	MONDO_0004784
CHEBI_7443	MONDO_0008383
CHEBI_7476	MONDO_0008383
CHEBI_63611	MONDO_0004652
CHEBI_94754	MONDO_0008364
CHEBI_7492	MONDO_0004979
CHEBI_2676	MONDO_0004652
CHEBI_2675	MONDO_0002050
CHEBI_2676	MONDO_0020920
CHEBI_7565	MONDO_0006021
CHEBI_17154	MONDO_0019975
CHEBI_17688	MONDO_0019975
CHEBI_45213	MONDO_0019975
CHEBI_7601	MONDO_0006896
CHEBI_18357	MONDO_0004979
CHEBI_100246	MONDO_0004652
CHEBI_100246	MONDO_0001080
CHEBI_100246	MONDO_0003781
CHEBI_100246	MONDO_0020920
CHEBI_100246	MONDO_0040732
CHEBI_100246	MONDO_0001964
CHEBI_100246	MONDO_0005119
CHEBI_100246	MONDO_0041095
CHEBI_50815	MONDO_0001932
CHEBI_100246	MONDO_0004264
CHEBI_2682	MONDO_0001080
CHEBI_7640	MONDO_0002050
CHEBI_2682	MONDO_0044070
CHEBI_2682	MONDO_0005631
CHEBI_2682	MONDO_0005119
CHEBI_28971	MONDO_0001080
CHEBI_28971	MONDO_0020920
CHEBI_28971	MONDO_0006753
CHEBI_7731	MONDO_0001964
CHEBI_28971	MONDO_0004264
CHEBI_7731	MONDO_0020920
CHEBI_7731	MONDO_0004652
CHEBI_7731	MONDO_0001080
CHEBI_7731	MONDO_0003781
CHEBI_7731	MONDO_0040732
CHEBI_7731	MONDO_0041095
CHEBI_7731	MONDO_0004264
CHEBI_7731	MONDO_0002186
CHEBI_94614	MONDO_0002050
CHEBI_7822	MONDO_0008383
CHEBI_133011	MONDO_0001080
CHEBI_134938	MONDO_0004979
CHEBI_133011	MONDO_0001125
CHEBI_45863	MONDO_0004989|MONDO_0015870
CHEBI_133011	MONDO_0005631
CHEBI_133011	MONDO_0005119
CHEBI_133011	MONDO_0004264
CHEBI_7915	MONDO_0019610
CHEBI_7936	MONDO_0002050
CHEBI_7959	MONDO_0008383
CHEBI_134936	MONDO_0004979
CHEBI_18208	MONDO_0004215
CHEBI_18208	MONDO_0040998
CHEBI_18208	MONDO_0040923
CHEBI_18208	MONDO_0005119
CHEBI_18208	MONDO_0005498
CHEBI_18208	MONDO_0006941
CHEBI_7956	MONDO_0043653
CHEBI_18208	MONDO_0040925
CHEBI_18208	MONDO_0005631
CHEBI_18208	MONDO_0042452
CHEBI_18208	MONDO_0040922
CHEBI_59118	MONDO_0005654
CHEBI_18208	MONDO_0001714
CHEBI_18208	MONDO_0005699
CHEBI_8060	MONDO_0002050
CHEBI_8069	MONDO_0005754
CHEBI_8107	MONDO_0005754
CHEBI_8093	MONDO_0005709
CHEBI_80680	MONDO_0005709
CHEBI_8107	MONDO_0041284
CHEBI_8232	MONDO_0001080
CHEBI_8232	MONDO_0040732
CHEBI_8232	MONDO_0020920
CHEBI_8249	MONDO_0008383
CHEBI_8245	MONDO_0004979
CHEBI_94810	MONDO_0004979
CHEBI_8232	MONDO_0004652
CHEBI_91755	MONDO_0002050
CHEBI_53426	MONDO_0006733
CHEBI_28568	MONDO_0005654
CHEBI_8232	MONDO_0005649
CHEBI_84115	MONDO_0005642
CHEBI_8378	MONDO_0015129
CHEBI_8378	MONDO_0011849
CHEBI_8378	MONDO_0009691
CHEBI_63618	MONDO_0002277
CHEBI_8378	MONDO_0004979
CHEBI_8378	MONDO_0002307
CHEBI_8378	MONDO_0005848
CHEBI_8378	MONDO_0015253
CHEBI_8378	MONDO_0001198
CHEBI_8378	MONDO_0000004
CHEBI_8378	MONDO_0004577
CHEBI_8378	MONDO_0007179
CHEBI_8378	MONDO_0020108
CHEBI_8378	MONDO_0018479
CHEBI_8382	MONDO_0008383
CHEBI_8382	MONDO_0004979
CHEBI_8382	MONDO_0015129
CHEBI_8380	MONDO_0002307
CHEBI_8382	MONDO_0011849
CHEBI_8382	MONDO_0015253
CHEBI_8382	MONDO_0001198
CHEBI_8382	MONDO_0009691
CHEBI_8405	MONDO_0005921
CHEBI_8382	MONDO_0000004
CHEBI_8382	MONDO_0007179
CHEBI_8382	MONDO_0020108
CHEBI_8382	MONDO_0006594
CHEBI_8412	MONDO_0005754
CHEBI_76263	MONDO_0008383
CHEBI_8499	MONDO_0004981
CHEBI_28593	MONDO_0004981
CHEBI_8707	MONDO_0004985
CHEBI_8597	MONDO_0002050
CHEBI_51209	MONDO_0005709
CHEBI_6762	MONDO_0005709
CHEBI_8874	MONDO_0004975
CHEBI_8887	MONDO_0008383
CHEBI_135612	MONDO_0004979
CHEBI_61049	MONDO_0005011
CHEBI_8863	MONDO_0004976
CHEBI_92246	MONDO_0019610
CHEBI_16914	MONDO_0008383
CHEBI_16914	MONDO_0005709
CHEBI_38545	MONDO_0002277
CHEBI_41500	MONDO_0004976
CHEBI_94758	MONDO_0019610
CHEBI_16914	MONDO_0001795
CHEBI_16914	MONDO_0045011
CHEBI_9014	MONDO_0008383
CHEBI_16794	MONDO_0005709
CHEBI_9123	MONDO_0002050
CHEBI_135076	MONDO_0002050
CHEBI_64064	MONDO_0004765
CHEBI_64064	MONDO_0004784
CHEBI_9118	MONDO_0000050|MONDO_0006909
CHEBI_63622	MONDO_0004981
CHEBI_9215	MONDO_0001080
CHEBI_9150	MONDO_0002277
CHEBI_63918	MONDO_0005921
CHEBI_63918	MONDO_0005920
CHEBI_9321	MONDO_0020920
CHEBI_63845	MONDO_0002307
CHEBI_63845	MONDO_0005644
CHEBI_45980	MONDO_0004975
CHEBI_9352	MONDO_0008383
CHEBI_9421	MONDO_0004652
CHEBI_39548	MONDO_0006021
CHEBI_9421	MONDO_0005649
CHEBI_39548	MONDO_0002277
CHEBI_102484	MONDO_0005920
CHEBI_46345	MONDO_0041448
